model,dataset,reducer,token_score,semantic_score,bert_score,llm_score,token_accuracy,semantic_accuracy,bert_accuracy,llm_accuracy,n_samples,mean_latency_s
llama3:latest,synthetic,baseline,0.637,0.1042,0.5961,0.04,0.4,1.0,0.0,1.0,5,1.118
llama3:latest,synthetic,constrained_decoding,0.6989,0.1094,0.6662,0.03,0.2,1.0,0.0,1.0,5,1.601
llama3:latest,synthetic,rag,0.4272,0.0682,0.5035,0.03,0.6,1.0,0.4,1.0,5,1.078
llama3:latest,synthetic,self_verification,0.6019,0.0941,0.5751,0.03,0.4,1.0,0.2,1.0,5,3.813
